ID;year;constructorId;name;points;wins;target;avg_driver_points;avg_grid_position;avg_final_position;dnf_count;total_driver_points
228;1973;66;BRM;12.0;0;0;0.29545454545454547;11.272727272727273;13.454545454545455;31;86.0
229;1973;80;Iso Marlboro;2.0;0;0;0.07142857142857142;19.5;13.75;17;17.0
230;1973;81;Tecno;1.0;0;0;0.25;18.75;16.0;3;4.0
231;1974;1;McLaren;73.0;4;1;1.891304347826087;10.0;9.326086956521738;25;722.0
232;1974;6;Ferrari;65.0;3;0;3.0;4.133333333333334;8.966666666666667;13;828.0
233;1974;25;Tyrrell;52.0;2;0;1.903225806451613;9.419354838709678;9.451612903225806;11;463.0
234;1974;26;Lola;1.0;0;0;0.034482758620689655;17.724137931034484;14.068965517241379;16;9.0
235;1974;32;Team Lotus;42.0;3;0;1.4242424242424243;11.242424242424242;12.878787878787879;19;321.0
236;1974;34;Brabham;35.0;3;0;0.8363636363636363;10.690909090909091;15.181818181818182;35;245.0
237;1974;37;March;6.0;0;0;0.1875;14.6875;17.15625;25;61.0
238;1974;57;Ensign;0.0;0;0;0.0;11.454545454545455;21.0;10;0.0
239;1974;58;Shadow;7.0;0;0;0.25;13.035714285714286;15.607142857142858;19;63.0
240;1974;63;Surtees;3.0;0;0;0.08333333333333333;11.972222222222221;21.666666666666668;30;18.0
241;1974;64;Hesketh;15.0;0;0;1.0714285714285714;7.357142857142857;15.857142857142858;9;62.0
242;1974;66;BRM;10.0;0;0;0.25;18.125;16.975;27;130.0
243;1974;67;Penske;0.0;0;0;0.0;19.0;16.0;1;0.0
244;1974;73;Parnelli;0.0;0;0;0.0;9.5;16.5;2;0.0
245;1974;74;Maki;0.0;0;0;0.0;0.0;32.0;2;0.0
246;1974;76;Lyncar;0.0;0;0;0.0;0.0;31.0;1;0.0
247;1974;77;Trojan;0.0;0;0;0.0;17.0;19.375;6;0.0
248;1974;78;Amon;0.0;0;0;0.0;8.6;28.0;5;0.0
249;1974;79;Token;0.0;0;0;0.0;16.0;18.25;4;0.0
